original_test_index,text,label
91,"Does solid culture for tuberculosis influence clinical decision making in India? [SEP] Medical units at an academic tertiary referral hospital in Southern India. To investigate the impact of solid culture on Löwenstein-Jensen medium on clinical decision making. In a retrospective review of 150 culture-positive and 150 culture-negative consecutively sampled tuberculosis (TB) suspects, treatment decisions were analysed at presentation, after the availability of culture detection results and after the availability of drug susceptibility testing (DST) culture results. A total of 124 (82.7%) culture-positive patients and 35 (23.3%) culture-negative patients started anti-tuberculosis treatment prior to receiving their culture results; 101 patients (33.7%) returned for their results; two (1.3%) initiated treatment based on positive culture and no culture-negative patients discontinued treatment. DST was performed on 119 (79.3%) positive cultures: 30 (25.2%) showed any resistance, eight (6.7%) showed multidrug resistance and one (0.84%) showed extensively drug-resistant TB. Twenty-eight patients (23.5%) returned for their DST results. Based on DST, treatment was modified in four patients (3.4%).",2
63,"Two-year follow-up survey of patients with allergic contact dermatitis from an occupational cohort: is the prognosis dependent on the omnipresence of the allergen? [SEP] Skin diseases are the most frequently recognized occupational diseases in Denmark. The prognosis for occupational contact dermatitis is often poor. To investigate the prognosis, assessed by eczema, job status and skin-related quality of life, among patients allergic to rubber chemicals and latex (ubiquitous allergens) and epoxy (nonubiquitous allergen), 2 years after recognition of occupational allergic contact dermatitis. From a cohort of all patients recognized as having occupational dermatitis by the Danish National Board of Industrial Injuries in 2010, 199 patients with relevant rubber allergy (contact allergy to rubber chemicals or contact urticaria from latex) or epoxy allergy were identified. Follow-up consisted of a questionnaire covering current severity of eczema, employment, exposure and quality of life. The response rate was 75%. Clearance of eczema was reported by 11% of patients and 67% reported improvement. Overall 22% of patients with allergy to a nonubiquitous allergen had total clearance of eczema compared with 10% of cases allergic to ubiquitous allergens and 0% of those with contact urticaria (P = 0·116). Improvement was significantly more frequent in those who had changed jobs compared with those who had not (P = 0·01).",0
139,"Can bedside assessment reliably exclude aspiration following acute stroke? [SEP] To investigate the ability of a bedside swallowing assessment to reliably exclude aspiration following acute stroke. Consecutive patients admitted within 24 h of stroke onset to two hospitals. A prospective study. Where possible, all patients had their ability to swallow assessed on the day of admission by both a doctor and a speech and language therapist using a standardized proforma. A videofluoroscopy examination was conducted within 3 days of admission. 94 patients underwent videofluoroscopy; 20 (21%) were seen to be aspirating, although this was not detected at the bedside in 10. In 18 (22%) of the patients the speech and language therapist considered the swallow to be unsafe. In the medical assessment, 39 patients (41%) had an unsafe swallow. Bedside assessment by a speech and language therapist gave a sensitivity of 47%, a specificity of 86%, positive predictive value (PPV) of 50% and a negative predictive value (NPV) of 85% for the presence of aspiration. Multiple logistic regression was used to identify the optimum elements of the bedside assessments for predicting the presence of aspiration. A weak voluntary cough and any alteration in conscious level gave a sensitivity of 75%, specificity of 72%, PPV of 41% and NPV of 91% for aspiration.",1
104,"Does the bracket-ligature combination affect the amount of orthodontic space closure over three months? [SEP] To investigate the effect of bracket-ligature combination on the amount of orthodontic space closure over three months. Randomized clinical trial with three parallel groups. A hospital orthodontic department (Chesterfield Royal Hospital, UK). Forty-five patients requiring upper first premolar extractions. Informed consent was obtained and participants were randomly allocated into one of three groups: (1) conventional pre-adjusted edgewise brackets and elastomeric ligatures; (2) conventional pre-adjusted edgewise brackets and Super Slick(®) low friction elastomeric ligatures; (3) Damon 3MX(®) passive self-ligating brackets. Space closure was undertaken on 0·019×0·025-inch stainless steel archwires with nickel-titanium coil springs. Participants were recalled at four weekly intervals. Upper alginate impressions were taken at each visit (maximum three). The primary outcome measure was the mean amount of space closure in a 3-month period. A one-way ANOVA was undertaken [dependent variable: mean space closure (mm); independent variable: group allocation]. The amount of space closure was very similar between the three groups (1 mm per 28 days); however, there was a wide variation in the rate of space closure between individuals. The differences in the amount of space closure over three months between the three groups was very small and non-significant (P = 0·718).",1
93,"Could Adult European Pharmacoresistant Epilepsy Patients Be Treated With Higher Doses of Zonisamide? [SEP] To examine the clinical effect (efficacy and tolerability) of high doses of zonisamide (ZNS) (>500 mg/d) in adult patients with pharmacoresistant epilepsy. Between 2006 and 2013, all epileptic outpatients treated with high doses of ZNS were selected. Safety and efficacy were assessed based on patient and caregiver reports. Serum levels of ZNS and other concomitant antiepileptic drugs were evaluated if available. Nine patients (5 female): 8 focal/1 generalized pharmacoresistant epilepsy. Mean age: 34 years. Most frequent seizure type: complex partial seizures; other seizure types: generalized tonic-clonic, tonic, myoclonia. Zonisamide in polytherapy in all (100%), administered in tritherapy in 3 (33%) of 9 patients; mean dose: 633 (600-700) mg/d; efficacy (>50% seizure reduction) was observed in 5 (55%) of 9 patients. Five of 9 patients are still taking high doses of ZNS (more than 1 year). Adverse events were observed in 3 (37%) of 8 patients. Good tolerance to high doses of other antiepileptic drugs had been observed in 6 (66%) of 9 patients. Plasma levels of ZNS were only available in 2 patients; both were in the therapeutic range (34.95, 30.91) (10-40 mg/L).",0
102,"Do general practitioner hospitals reduce the utilisation of general hospital beds? [SEP] To assess whether populations with access to general practitioner hospitals (GP hospitals) utilise general hospitals less than populations without such access. Observational study comparing the total rates of admissions and of occupied bed days in general hospitals between populations with and without access to GP hospitals. Comparisons were also made separately for diagnoses commonly encountered in GP hospitals. Two general hospitals serving the population of Finnmark county in north Norway. 35,435 admissions based on five years' routine recordings from the two hospitals. The total rate of admission to general hospitals was lower in peripheral municipalities with a GP hospital than in central municipalities without this kind of institution, 26% and 28% lower for men and women respectively. The corresponding differences were 38% and 52%, when analysed for occupied bed days. The differences were most pronounced for patients with respiratory diseases, cardiac failure, and cancer who are primarily or intermediately treated or cared for in GP hospitals, and for patients with stroke and fractures, who are regularly transferred from general hospitals to GP hospitals for longer term follow up care.",0
26,"Substance use and HIV-related sexual behaviors among US high school students: are they related? [SEP] This study was undertaken to examine whether use of alcohol, cigarettes, marijuana, cocaine, and other illicit drugs is related to the likelihood of sexual behaviors that increase risk for human immunodeficiency virus (HIV) infection among youth. The 1990 national Youth Risk Behavior Survey was used to collect self-reported information about a broad range of health risk behaviors from a representative sample of 11,631 high school students in the United States. Students who reported no substance use were least likely to report having had sexual intercourse, having had four or more sex partners, and not having used a condom at last sexual intercourse. Adjusted for age, sex, and race/ethnicity, odds ratios for each of these sexual risk behaviors were greatest among students who had used marijuana, cocaine, or other illicit drugs. Students who had used only alcohol or cigarettes had smaller but still significant increases in the likelihood of having had sexual intercourse and of having had four or more sex partners.",0
60,"Is perforation of the appendix a risk factor for tubal infertility and ectopic pregnancy? [SEP] To critically assess the evidence that appendiceal perforation is a risk factor for subsequent tubal infertility or ectopic pregnancy. Epidemiologic studies investigating the relationship between appendectomy and infertility or ectopic pregnancy were identified by searching the MEDLINE database from 1966 to 1997. Appropriate citations were also extracted from a manual search of the bibliographies of selected papers. Twenty-three articles were retrieved. Only 4 presented original data including comparisons to a nonexposed control group and they form the basis for this study. Because the raw data or specific techniques of data analysis were not always explicitly described, indices of risk for exposure were extracted from the data as presented and were analysed without attempting to convert them to a common measure. Articles were assessed according to the criteria of the Evidence-Based Medicine Working Group for evaluating articles on harm. Review of the literature yielded estimates of the risk of adverse fertility outcomes ranging from 1.6 (95% confidence interval [CI] 1.1 to 2.5) for ectopic pregnancy after an appendectomy to 4.8 (95% CI 1.5 to 14.9) for tubal infertility from perforation of the appendix. Recall bias, and poor adjustment for confounding variables in some reports, weakened the validity of the studies.",2
70,"Marital status, living arrangement and mortality: does the association vary by gender? [SEP] Men appear to benefit more from being married than women with respect to mortality in middle age. However, there is some uncertainty about gender differences in mortality risks in older individuals, widowed, divorced and single individuals and about the impact of living arrangements. Longitudinal data with 1990 census records being linked to mortality data up to 2005 were used (Swiss National Cohort). The sample comprised all residents over age 44 years in Switzerland (n=2,440,242). All-cause mortality HRs for marital status and living arrangements were estimated by Cox regression for men and women and different age groups with adjustment for education and socio-professional category. The benefit of being married was stronger for men than for women; however, mortality patterns were similar, with higher mortality in divorced and single individuals compared with widowed individuals (<80 years). After adjustment for living arrangements, the gender difference by marital status disappeared. Stratification by living arrangement revealed that mortality risks were highest for 45-64-year-old divorced (HR 1.72 (95% CI 1.67 to 1.76)) and single men (HR 1.67 (95% CI 1.63 to 1.71)) who lived alone. In women of the same age, the highest mortality risk was observed for those who were single and living with a partner (HR 1.70 (95% CI 1.58 to 1.82)). In older age groups, the impact of marital status decreased.",0
15,"Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume? [SEP] Measurement of visceral adipose tissue (VAT) needs to be accurate and sensitive to change for risk monitoring. The purpose of this study is to determine the CT slice location where VAT area can best reflect changes in VAT volume and body weight. 60 plain abdominal CT images from 30 males [mean age (range) 51 (41-68) years, mean body weight (range) 71.1 (101.9-50.9) kg] who underwent workplace screenings twice within a 1-year interval were evaluated. Automatically calculated and manually corrected areas of the VAT of various scan levels using ""freeform curve"" region of interest on CT were recorded and compared with body weight changes. The strongest correlations of VAT area with VAT volume and body weight changes were shown in a slice 3 cm above the lower margin of L3 with r values of 0.853 and 0.902, respectively.",0
